X_ANS_COMMENTS,Contact ID,Opty ID
"GA userId: 1826962840.1514992786

Request: 2018-01-03",1-PE9B6HJ,1-PE9B6GS
"GA userId: 1869233233.1514411783

Request: 2017-12-27",1-PC88YRG,1-PC88YRA
"GA userId: GA1.3.1920684785.1514466692

Request: 2017-12-28",1-PCEG2DS,1-PCEG2DM
"GA userId: GA1.3.2015233869.1492008775

Request: 2017-12-30",1-PD31EVS,1-PD31I2C
"GA userId: GA1.3.2015233869.1492008775

Request: 2017-12-30",1-PD31EVS,1-PD31EVM
"GA userId: 1377886799.1514653569

Request: 2017-12-30",1-PD45LA3,1-PD45L9W
"GA userId: 1804558080.1514737296

Request: 2017-12-31",1-PDAZ70U,1-PDAZ70O
"GA userId: 378621123.1508872744

Request: 2018-01-01",1-PDLQ4JW,1-PDLQ4JQ
"GA userId: 378621123.1508872744

Request: 2018-01-01",1-PDLQ4JW,1-PDLQGIK
"GA userId: 378621123.1508872744

Request: 2018-01-01",1-PDLQ4JW,1-PDLQEY6
"GA userId: 1750244270.1514834010

Request: 2018-01-02",1-PDX3BBY,1-PDX3BBS
"GA userId: GA1.3.1370672896.1452116610

Request: 2017-11-08",1-XZ6-4320,1-OKDJRZG
"GA userId: 7241106.1513197231

Request: 2017-12-13",1-Y00-3696,1-P5LPBO8
"GA userId: GA1.3.1370672896.1452116610

Request: 2017-11-08",1-XZ6-4320,1-OKDJQQ6
"GA userId: 1102404711.1466114493

Request: 2017-10-29",1-7Z6R6HX,1-OGI9OSU
"GA userId: 1102404711.1466114493

Request: 2017-10-29",1-7Z6R6HX,1-OGI9KPM
"GA userId: 1337768045.1482770714

Request: 2017-12-04",1-87A2YIU,1-P17QF4Q
"GA userId: 1164617338.1507909062

Request: 2017-12-02",1-93PME92,1-OZYMXLK
"GA userId: 1793622993.1502037429

Request: 2017-12-27",1-NNL5ME2,1-PC0W7IU
"GA userId: 1793622993.1502037429

Request: 2017-12-27",1-NNL5ME2,1-PC0W4HE
"GA userId: 887551520.1510223324

Request: 2017-11-09",1-4H1JNS9,1-OKM0WQK
"GA userId: 1516687142.1509541012

Request: 2017-11-01",1-44B6XY9,1-OHF8GUE
"GA userId: GA1.3.421417956.1504425752

Request: 2017-12-14",1-2QD6MIM,1-P62FHEK
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODR28Q
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODQT7Q
"GA userId: 212947132.1510845907

Request: 2017-11-16",1-14UH2FF,1-OODR2F4
"GA userId: 1164617338.1507909062

Request: 2017-12-02",1-93PME92,1-OZYMXLK
"GA userId: 627899486.1457700314

Request: 2017-11-03",1-OI947I0,1-OI947HU
